record_id,question_id,decision,reason_codes,confidence,evidence_basis,status
pubmed:20052816,HRS1_PERIOPERATIVE,deprioritize,population|outcome|off_topic,medium,abstract,ok
pubmed:20085130,HRS1_PERIOPERATIVE,retain,exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:20098971,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:20233176,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:20373930,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:20417509,HRS1_PERIOPERATIVE,uncertain,exposure|insufficient_abstract,low,title_only,ok
pubmed:20581318,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,low,abstract,ok
pubmed:20599078,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:20622656,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:20627706,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:20651752,HRS1_PERIOPERATIVE,uncertain,exposure|insufficient_abstract,low,title_only,ok
pubmed:20669666,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:20683279,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:20883870,HRS1_PERIOPERATIVE,uncertain,outcome|insufficient_abstract,low,title_only,ok
pubmed:20931479,HRS1_PERIOPERATIVE,uncertain,exposure|insufficient_abstract,low,title_only,ok
pubmed:20954959,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|insufficient_abstract,low,title_only,ok
pubmed:20974030,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:21111880,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|insufficient_abstract,low,title_only,ok
pubmed:21195151,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:21336558,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:21423055,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:21575004,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,low,abstract,ok
pubmed:21624132,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:21625908,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:21912817,HRS1_PERIOPERATIVE,deprioritize,animal_term_present|off_topic,high,abstract,ok
pubmed:21987426,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:22048283,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:22063371,HRS1_PERIOPERATIVE,retain,population|exposure|design_signal,low,abstract,ok
pubmed:22076561,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok
pubmed:22099619,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:22196577,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:22268970,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:22269200,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:22296924,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok
pubmed:22392970,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:22395325,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:22395326,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:22403970,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:22483186,HRS1_PERIOPERATIVE,deprioritize,animal_term_present|off_topic,high,abstract,ok
pubmed:22581258,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:22788052,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:22906201,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:22939643,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:22943356,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:23044161,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:23128104,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:23163143,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:23262963,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:23420598,HRS1_PERIOPERATIVE,deprioritize,off_topic,high,abstract,ok
pubmed:23510951,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:23724529,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:23829573,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:23867209,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:24039820,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:24085049,HRS1_PERIOPERATIVE,uncertain,population|outcome,low,abstract,ok
pubmed:243856,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:24462651,HRS1_PERIOPERATIVE,uncertain,population|outcome,low,abstract,ok
pubmed:24488003,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:24587663,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,low,abstract,ok
pubmed:24992796,HRS1_PERIOPERATIVE,retain,population|exposure|design_signal,low,abstract,ok
pubmed:24993438,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:24996802,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:25106547,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:25140597,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:25199335,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:25264330,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:25309668,HRS1_PERIOPERATIVE,retain,population|exposure|insufficient_abstract,low,title_only,ok
pubmed:25312751,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,low,abstract,ok
pubmed:25486915,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:25847559,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:25892528,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:26123286,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:26342151,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:26467546,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:26826922,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,low,abstract,ok
pubmed:27119920,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:27286046,HRS1_PERIOPERATIVE,retain,population|exposure|design_signal,low,abstract,ok
pubmed:27461168,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:27610010,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:27658661,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:27751305,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:27829428,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:27876239,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:27878352,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:28007717,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:2842680,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:28460624,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:28724657,HRS1_PERIOPERATIVE,retain,exposure|outcome|design_signal,low,abstract,ok
pubmed:28914190,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:29395485,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:29546292,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:29627068,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:29667233,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:29856175,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:29880619,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:29882344,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:29888990,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:30013020,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:30017873,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:30110009,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:30232527,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:30309814,HRS1_PERIOPERATIVE,uncertain,population|exposure,low,abstract,ok
pubmed:30334261,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:30351804,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:30431563,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:30461638,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:30528849,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:30571332,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:30648494,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:30925514,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,low,abstract,ok
pubmed:31094086,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:31186035,HRS1_PERIOPERATIVE,deprioritize,population|outcome|off_topic,medium,abstract,ok
pubmed:31475045,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:31535811,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:31537438,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,low,abstract,ok
pubmed:31577540,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:31580814,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:31605493,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:31870899,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:32201122,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:32252936,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:32398461,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:32442096,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:32487501,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:32545511,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:32659245,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:32691389,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:32748472,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:32769964,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:32842823,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:32901242,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:33053814,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:33218878,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:33261258,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:33350724,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:33450748,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:33731638,HRS1_PERIOPERATIVE,deprioritize,off_topic|insufficient_abstract,low,title_only,ok
pubmed:3393932,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:33965294,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:34184927,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:34232163,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,high,abstract,ok
pubmed:34411017,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:3443716,HRS1_PERIOPERATIVE,deprioritize,off_topic,medium,abstract,ok
pubmed:34559371,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:34686401,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,medium,abstract,ok
pubmed:34710946,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:34844500,HRS1_PERIOPERATIVE,retain,population|exposure|design_signal,low,abstract,ok
pubmed:34859459,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:35063205,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|human_signal|design_signal,high,abstract,ok
pubmed:35085018,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:35283042,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:35317870,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:35382835,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:35392839,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:35417958,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:35779783,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:35877927,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:36054262,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:36107525,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:36182059,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:36476355,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:36580029,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:36611148,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:36735455,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:36966086,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,high,abstract,ok
pubmed:37450384,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:37565875,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:37625454,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:37634077,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:37658611,HRS1_PERIOPERATIVE,deprioritize,population|outcome|off_topic,medium,abstract,ok
pubmed:37729964,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:37858617,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:37904349,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:38502819,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:38613937,HRS1_PERIOPERATIVE,retain,population|exposure|outcome,high,abstract,ok
pubmed:38735483,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:38776147,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
pubmed:38847768,HRS1_PERIOPERATIVE,retain,population|exposure|outcome|design_signal,medium,abstract,ok
pubmed:38886787,HRS1_PERIOPERATIVE,deprioritize,exposure|off_topic,medium,abstract,ok
pubmed:39066774,HRS1_PERIOPERATIVE,deprioritize,population|off_topic,medium,abstract,ok
