record_id,kmid,question_id,title,koreamed_url,pubmed_candidate_count,candidate_pmids,candidate_pubmed_titles,candidate_pubmed_raw_files,native_export_status,decision_authority,status
REC-KOREAMED-2317763,2317763,A1,Sudden Hemiplegia by Epidural Hematoma in a Patient Treated with Warfarin and Therapeutic Range International Normalized Ratio,https://www.koreamed.org/SearchBasic.php?RID=2317763,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2308908,2308908,A1,Use of NOAC in Cardioversion,https://www.koreamed.org/SearchBasic.php?RID=2308908,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2396475,2396475,A1,Real-world Data and Recommended Dosage of Non-vitamin K Oral Anticoagulants for Korean Patients,https://www.koreamed.org/SearchBasic.php?RID=2396475,1,29171208,Real-world Data and Recommended Dosage of Non-vitamin K Oral Anticoagulants for Korean Patients.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_020.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2414909,2414909,A1,Effect of Non-vitamin K Antagonist Oral Anticoagulants in Atrial Fibrillation Patients with Newly Diagnosed Cancer,https://www.koreamed.org/SearchBasic.php?RID=2414909,1,29671285,Effect of Non-vitamin K Antagonist Oral Anticoagulants in Atrial Fibrillation Patients with Newly Diagnosed Cancer.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_019.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-1824947,1824947,A1,VKORC1 and CYP2C9 Genotype Variations in Relation to Warfarin Dosing in Korean Stroke Patients,https://www.koreamed.org/SearchBasic.php?RID=1824947,1,24324947,VKORC1 and CYP2C9 Genotype Variations in Relation to Warfarin Dosing in Korean Stroke Patients.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_034.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2540071,2540071,A1,Comparison of Early Complications of Oral Anticoagulants after Totally Thoracoscopic Ablation: Warfarin versus Non-vitamin K Antagonist Oral Anticoagulants,https://www.koreamed.org/SearchBasic.php?RID=2540071,1,36710581,Comparison of Early Complications of Oral Anticoagulants after Totally Thoracoscopic Ablation: Warfarin versus Non-vitamin K Antagonist Oral Anticoagulants.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_050.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2424435,2424435,A1,Heart Failure as a Risk Factor for Stroke,https://www.koreamed.org/SearchBasic.php?RID=2424435,1,29402070,Heart Failure as a Risk Factor for Stroke.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_019.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2533903,2533903,A1,Impact of ABCB1 C3435T Polymorphism on Treatment Response of Vitamin K Antagonists: A Systematic Review and Meta-analysis,https://www.koreamed.org/SearchBasic.php?RID=2533903,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2054163,2054163,A1,Non-operative Treatment of Femoral Neuropathy Caused by Iliacus Hematoma: A Case Report,https://www.koreamed.org/SearchBasic.php?RID=2054163,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2454974,2454974,A1,Management of antithrombotic agents and current issues in patients undergoing endoscopic submucosal dissection,https://www.koreamed.org/SearchBasic.php?RID=2454974,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2551951,2551951,A1,Comparison of the International Normalized Ratio Between a Point-of-Care Test and a Conventional Laboratory Test: the Latter Performs Better in Assessing Warfarin-induced Changes in Coagulation Factors,https://www.koreamed.org/SearchBasic.php?RID=2551951,1,36843402,Comparison of the International Normalized Ratio Between a Point-of-Care Test and a Conventional Laboratory Test: the Latter Performs Better in Assessing Warfarin-induced Changes in Coagulation Factors.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_050.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2438027,2438027,A1,The 2018 Korean Heart Rhythm Society Practical Guidelines on the use of Non-Vitamin K-Antagonist Oral Anticoagulants: Bleeding Control and Perioperative Management,https://www.koreamed.org/SearchBasic.php?RID=2438027,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-1826383,1826383,A1,Trends in Oral Anticoagulation Therapy Among Korean Patients With Atrial Fibrillation: The KORean Atrial Fibrillation Investigation,https://www.koreamed.org/SearchBasic.php?RID=1826383,1,22396699,Trends in Oral Anticoagulation Therapy Among Korean Patients With Atrial Fibrillation: The KORean Atrial Fibrillation Investigation.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_038.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2368399,2368399,A1,Spontaneous Intracerebral Hemorrhage: Management,https://www.koreamed.org/SearchBasic.php?RID=2368399,1,28178413,Spontaneous Intracerebral Hemorrhage: Management.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_023.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2502300,2502300,A1,A Large Defect on Nasal Dorsum Treated by Secondary Intention Healing,https://www.koreamed.org/SearchBasic.php?RID=2502300,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2559774,2559774,A1,Direct Oral Anticoagulants in Antiphospholipid Syndrome-Associated Venous Thromboembolism: Real World Evidence,https://www.koreamed.org/SearchBasic.php?RID=2559774,1,39315443,Direct Oral Anticoagulants in Antiphospholipid Syndrome-Associated Venous Thromboembolism: Real World Evidence.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_046.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2517602,2517602,A1,Clinical utilization of four-factor prothrombin complex concentrate: a retrospective single center study,https://www.koreamed.org/SearchBasic.php?RID=2517602,1,34237811,Clinical utilization of four-factor prothrombin complex concentrate: a retrospective single center study.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_055.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2377723,2377723,A1,The Perioperative Management of Antithrombotic Therapies Using Enoxaparin,https://www.koreamed.org/SearchBasic.php?RID=2377723,1,28480651,The Perioperative Management of Antithrombotic Therapies Using Enoxaparin.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_022.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2368397,2368397,A1,"Epidemiology, Risk Factors, and Clinical Features of Intracerebral Hemorrhage: An Update",https://www.koreamed.org/SearchBasic.php?RID=2368397,1,28178408,"Epidemiology, Risk Factors, and Clinical Features of Intracerebral Hemorrhage: An Update.",research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_023.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2420640,2420640,A1,Anticoagulation for Stroke Prevention in Older Adults with Atrial Fibrillation and Comorbidity: Current Evidence and Treatment Challenges,https://www.koreamed.org/SearchBasic.php?RID=2420640,1,30238705,Anticoagulation for Stroke Prevention in Older Adults with Atrial Fibrillation and Comorbidity: Current Evidence and Treatment Challenges.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_017.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2527871,2527871,A1,Underutilization of anticoagulants in patients with nonvalvular atrial fibrillation in the era of non‑vitamin K antagonist oral anticoagulants,https://www.koreamed.org/SearchBasic.php?RID=2527871,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2514538,2514538,A1,Risk for osteoporotic fractures in patients with atrial fibrillation using different oral anticoagulants,https://www.koreamed.org/SearchBasic.php?RID=2514538,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2447752,2447752,A1,Antithrombotic Strategy in Atrial Fibrillation Patients Undergoing Percutaneous Coronary Intervention,https://www.koreamed.org/SearchBasic.php?RID=2447752,1,32821695,Antithrombotic Strategy in Atrial Fibrillation Patients Undergoing Percutaneous Coronary Intervention.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_015.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2415445,2415445,A1,Impact of the Health Insurance Coverage Policy on Oral Anticoagulant Prescription among Patients with Atrial Fibrillation in Korea from 2014 to 2016,https://www.koreamed.org/SearchBasic.php?RID=2415445,1,29853819,Impact of the Health Insurance Coverage Policy on Oral Anticoagulant Prescription among Patients with Atrial Fibrillation in Korea from 2014 to 2016.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_018.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2070114,2070114,A1,Evaluation of risk factors in patients with vitamin K-dependent coagulopathy presumed to be caused by exposure to brodifacoum,https://www.koreamed.org/SearchBasic.php?RID=2070114,1,25045298,Evaluation of risk factors in patients with vitamin K-dependent coagulopathy presumed to be caused by exposure to brodifacoum.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_032.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2454676,2454676,A1,Korean Heart Rhythm Society 2019 Practical Guidelines on Antithrombotic Therapy for AF Patients Undergoing Percutaneous Coronary Intervention or Structural Heart Disease Intervention,https://www.koreamed.org/SearchBasic.php?RID=2454676,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2435176,2435176,A1,2018 KHRS Expert Consensus Recommendation for Oral Anticoagulants Choice and Appropriate Doses: Specific Situation and High Risk Patients,https://www.koreamed.org/SearchBasic.php?RID=2435176,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2536967,2536967,A1,Dose Selection of Non-Vitamin K Antagonist Oral Anticoagulants in Korean Patients with Non-Valvular Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2536967,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2373642,2373642,A1,Clinical Pharmacogenetic Testing and Application: Laboratory Medicine Clinical Practice Guidelines,https://www.koreamed.org/SearchBasic.php?RID=2373642,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2508178,2508178,A1,Perioperative outcomes of interrupted anticoagulation in patients with non-valvular atrial fibrillation undergoing non-cardiac surgery,https://www.koreamed.org/SearchBasic.php?RID=2508178,1,32668522,Perioperative outcomes of interrupted anticoagulation in patients with non-valvular atrial fibrillation undergoing non-cardiac surgery.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_059.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2521066,2521066,A1,Lower dementia risk with anticoagulation and ablation in patients with atrial fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2521066,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2532139,2532139,A1,Pharmacotherapy for pulmonary embolism: new anticoagulants,https://www.koreamed.org/SearchBasic.php?RID=2532139,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2505374,2505374,A1,Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding,https://www.koreamed.org/SearchBasic.php?RID=2505374,1,32882758,Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_059.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2514634,2514634,A1,Prevention of Dementia in Patients with Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2514634,1,33821580,Prevention of Dementia in Patients with Atrial Fibrillation.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_056.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2581908,2581908,A1,"Erratum to “Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding” by Lee MT, et al. (Yonsei Med J 2020;61(9):741-749)",https://www.koreamed.org/SearchBasic.php?RID=2581908,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2515764,2515764,A1,Impact of Non-Vitamin K Antagonist Oral Anticoagulants on the Change of Antithrombotic Regimens in Patients with Atrial Fibrillation Undergoing Percutaneous Coronary Intervention,https://www.koreamed.org/SearchBasic.php?RID=2515764,1,33764010,Impact of Non-Vitamin K Antagonist Oral Anticoagulants on the Change of Antithrombotic Regimens in Patients with Atrial Fibrillation Undergoing Percutaneous Coronary Intervention.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_057.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2525372,2525372,A1,2021 Korean Heart Rhythm Society Guidelines for Catheter or Surgical Ablation of Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2525372,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2578062,2578062,A1,Timing for the Resumption of Anticoagulants after Intracranial Hemorrhage,https://www.koreamed.org/SearchBasic.php?RID=2578062,1,40889786,Timing for the Resumption of Anticoagulants after Intracranial Hemorrhage.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_043.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2501991,2501991,A1,A prospective survey of the persistence of warfarin or NOAC in nonvalvular atrial fibrillation: a COmparison study of Drugs for symptom control and complication prEvention of Atrial Fibrillation (CODE-AF),https://www.koreamed.org/SearchBasic.php?RID=2501991,1,31014064,A prospective survey of the persistence of warfarin or NOAC in nonvalvular atrial fibrillation: a COmparison study of Drugs for symptom control and complication prEvention of Atrial Fibrillation (CODE-AF).,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_015.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2563795,2563795,A1,"The Efficacy and Safety of NOAC in Very Elderly Atrial Fibrillation Patients:
Data From the Korean National Health Insurance Cohort Registry",https://www.koreamed.org/SearchBasic.php?RID=2563795,1,39434362,The Efficacy and Safety of NOAC in Very Elderly Atrial Fibrillation Patients: Data From the Korean National Health Insurance Cohort Registry.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_045.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2536731,2536731,A1,Outcomes of On-Label Reduced-Dose Edoxaban in Patients With Atrial Fibrillation: The LEDIOS Registry,https://www.koreamed.org/SearchBasic.php?RID=2536731,1,36513051,Outcomes of On-Label Reduced-Dose Edoxaban in Patients With Atrial Fibrillation: The LEDIOS Registry.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_051.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2559703,2559703,A1,"Atrial fibrillation fact sheet in Korea 2024:
part 2—stroke prevention in Korean patients with atrial fibrillation",https://www.koreamed.org/SearchBasic.php?RID=2559703,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2527512,2527512,A1,Stroke and Systemic Thromboembolism according to CHA 2 DS 2 -VASc Score in Contemporary Korean Patients with Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2527512,0,,,,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
REC-KOREAMED-2517492,2517492,A1,Percutaneous Left Atrial Appendage Occlusion Yields Favorable Neurological Outcomes in Patients with Non-Valvular Atrial Fibrillation,https://www.koreamed.org/SearchBasic.php?RID=2517492,1,34227275,Percutaneous Left Atrial Appendage Occlusion Yields Favorable Neurological Outcomes in Patients with Non-Valvular Atrial Fibrillation.,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_055.xml,design_pilot_complete_display_native_export_server_error_not_final_search,none,context_only_not_a_screening_or_linkage_decision
