record_id,kmid,question_id,title,source_status,reviewer_1_id,reviewer_1_decision,reviewer_2_id,reviewer_2_decision,adjudicator_id,final_decision,notes
REC-KOREAMED-2396475,2396475,A1,Real-world Data and Recommended Dosage of Non-vitamin K Oral Anticoagulants for Korean Patients,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2414909,2414909,A1,Effect of Non-vitamin K Antagonist Oral Anticoagulants in Atrial Fibrillation Patients with Newly Diagnosed Cancer,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-1824947,1824947,A1,VKORC1 and CYP2C9 Genotype Variations in Relation to Warfarin Dosing in Korean Stroke Patients,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2540071,2540071,A1,Comparison of Early Complications of Oral Anticoagulants after Totally Thoracoscopic Ablation: Warfarin versus Non-vitamin K Antagonist Oral Anticoagulants,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2424435,2424435,A1,Heart Failure as a Risk Factor for Stroke,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2533903,2533903,A1,Impact of ABCB1 C3435T Polymorphism on Treatment Response of Vitamin K Antagonists: A Systematic Review and Meta-analysis,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2054163,2054163,A1,Non-operative Treatment of Femoral Neuropathy Caused by Iliacus Hematoma: A Case Report,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2454974,2454974,A1,Management of antithrombotic agents and current issues in patients undergoing endoscopic submucosal dissection,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2551951,2551951,A1,Comparison of the International Normalized Ratio Between a Point-of-Care Test and a Conventional Laboratory Test: the Latter Performs Better in Assessing Warfarin-induced Changes in Coagulation Factors,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2438027,2438027,A1,The 2018 Korean Heart Rhythm Society Practical Guidelines on the use of Non-Vitamin K-Antagonist Oral Anticoagulants: Bleeding Control and Perioperative Management,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-1826383,1826383,A1,Trends in Oral Anticoagulation Therapy Among Korean Patients With Atrial Fibrillation: The KORean Atrial Fibrillation Investigation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2368399,2368399,A1,Spontaneous Intracerebral Hemorrhage: Management,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2502300,2502300,A1,A Large Defect on Nasal Dorsum Treated by Secondary Intention Healing,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2559774,2559774,A1,Direct Oral Anticoagulants in Antiphospholipid Syndrome-Associated Venous Thromboembolism: Real World Evidence,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2517602,2517602,A1,Clinical utilization of four-factor prothrombin complex concentrate: a retrospective single center study,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2377723,2377723,A1,The Perioperative Management of Antithrombotic Therapies Using Enoxaparin,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2368397,2368397,A1,"Epidemiology, Risk Factors, and Clinical Features of Intracerebral Hemorrhage: An Update",design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2420640,2420640,A1,Anticoagulation for Stroke Prevention in Older Adults with Atrial Fibrillation and Comorbidity: Current Evidence and Treatment Challenges,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2527871,2527871,A1,Underutilization of anticoagulants in patients with nonvalvular atrial fibrillation in the era of non‑vitamin K antagonist oral anticoagulants,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2514538,2514538,A1,Risk for osteoporotic fractures in patients with atrial fibrillation using different oral anticoagulants,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2447752,2447752,A1,Antithrombotic Strategy in Atrial Fibrillation Patients Undergoing Percutaneous Coronary Intervention,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2415445,2415445,A1,Impact of the Health Insurance Coverage Policy on Oral Anticoagulant Prescription among Patients with Atrial Fibrillation in Korea from 2014 to 2016,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2070114,2070114,A1,Evaluation of risk factors in patients with vitamin K-dependent coagulopathy presumed to be caused by exposure to brodifacoum,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2454676,2454676,A1,Korean Heart Rhythm Society 2019 Practical Guidelines on Antithrombotic Therapy for AF Patients Undergoing Percutaneous Coronary Intervention or Structural Heart Disease Intervention,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2435176,2435176,A1,2018 KHRS Expert Consensus Recommendation for Oral Anticoagulants Choice and Appropriate Doses: Specific Situation and High Risk Patients,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2536967,2536967,A1,Dose Selection of Non-Vitamin K Antagonist Oral Anticoagulants in Korean Patients with Non-Valvular Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2373642,2373642,A1,Clinical Pharmacogenetic Testing and Application: Laboratory Medicine Clinical Practice Guidelines,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2508178,2508178,A1,Perioperative outcomes of interrupted anticoagulation in patients with non-valvular atrial fibrillation undergoing non-cardiac surgery,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2521066,2521066,A1,Lower dementia risk with anticoagulation and ablation in patients with atrial fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2532139,2532139,A1,Pharmacotherapy for pulmonary embolism: new anticoagulants,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2505374,2505374,A1,Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2514634,2514634,A1,Prevention of Dementia in Patients with Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2581908,2581908,A1,"Erratum to “Concomitant Use of NSAIDs or SSRIs with NOACs Requires Monitoring for Bleeding” by Lee MT, et al. (Yonsei Med J 2020;61(9):741-749)",design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2515764,2515764,A1,Impact of Non-Vitamin K Antagonist Oral Anticoagulants on the Change of Antithrombotic Regimens in Patients with Atrial Fibrillation Undergoing Percutaneous Coronary Intervention,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2525372,2525372,A1,2021 Korean Heart Rhythm Society Guidelines for Catheter or Surgical Ablation of Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2578062,2578062,A1,Timing for the Resumption of Anticoagulants after Intracranial Hemorrhage,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2501991,2501991,A1,A prospective survey of the persistence of warfarin or NOAC in nonvalvular atrial fibrillation: a COmparison study of Drugs for symptom control and complication prEvention of Atrial Fibrillation (CODE-AF),design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2563795,2563795,A1,"The Efficacy and Safety of NOAC in Very Elderly Atrial Fibrillation Patients:
Data From the Korean National Health Insurance Cohort Registry",design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2536731,2536731,A1,Outcomes of On-Label Reduced-Dose Edoxaban in Patients With Atrial Fibrillation: The LEDIOS Registry,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2559703,2559703,A1,"Atrial fibrillation fact sheet in Korea 2024:
part 2—stroke prevention in Korean patients with atrial fibrillation",design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2527512,2527512,A1,Stroke and Systemic Thromboembolism according to CHA 2 DS 2 -VASc Score in Contemporary Korean Patients with Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
REC-KOREAMED-2517492,2517492,A1,Percutaneous Left Atrial Appendage Occlusion Yields Favorable Neurological Outcomes in Patients with Non-Valvular Atrial Fibrillation,design_pilot_complete_display_native_export_server_error_not_final_search,,,,,,,Awaiting human screening; browser capture is not an eligibility decision.
