retrieval_id,record_id,question_id,search_run_id,database,pmid,raw_file,status
RET-A1-PUBMED-5361017,REC-PUBMED-5361017,A1,pubmed_a1_designpilot_20260710,PubMed,5361017,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5365412,REC-PUBMED-5365412,A1,pubmed_a1_designpilot_20260710,PubMed,5365412,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5355100,REC-PUBMED-5355100,A1,pubmed_a1_designpilot_20260710,PubMed,5355100,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5346294,REC-PUBMED-5346294,A1,pubmed_a1_designpilot_20260710,PubMed,5346294,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5824124,REC-PUBMED-5824124,A1,pubmed_a1_designpilot_20260710,PubMed,5824124,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5383703,REC-PUBMED-5383703,A1,pubmed_a1_designpilot_20260710,PubMed,5383703,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4901122,REC-PUBMED-4901122,A1,pubmed_a1_designpilot_20260710,PubMed,4901122,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5821023,REC-PUBMED-5821023,A1,pubmed_a1_designpilot_20260710,PubMed,5821023,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5819910,REC-PUBMED-5819910,A1,pubmed_a1_designpilot_20260710,PubMed,5819910,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4897771,REC-PUBMED-4897771,A1,pubmed_a1_designpilot_20260710,PubMed,4897771,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5769055,REC-PUBMED-5769055,A1,pubmed_a1_designpilot_20260710,PubMed,5769055,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5774189,REC-PUBMED-5774189,A1,pubmed_a1_designpilot_20260710,PubMed,5774189,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5762156,REC-PUBMED-5762156,A1,pubmed_a1_designpilot_20260710,PubMed,5762156,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5751635,REC-PUBMED-5751635,A1,pubmed_a1_designpilot_20260710,PubMed,5751635,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5708893,REC-PUBMED-5708893,A1,pubmed_a1_designpilot_20260710,PubMed,5708893,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4974442,REC-PUBMED-4974442,A1,pubmed_a1_designpilot_20260710,PubMed,4974442,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5708144,REC-PUBMED-5708144,A1,pubmed_a1_designpilot_20260710,PubMed,5708144,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4189970,REC-PUBMED-4189970,A1,pubmed_a1_designpilot_20260710,PubMed,4189970,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4173625,REC-PUBMED-4173625,A1,pubmed_a1_designpilot_20260710,PubMed,4173625,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-11712286,REC-PUBMED-11712286,A1,pubmed_a1_designpilot_20260710,PubMed,11712286,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5696331,REC-PUBMED-5696331,A1,pubmed_a1_designpilot_20260710,PubMed,5696331,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4967225,REC-PUBMED-4967225,A1,pubmed_a1_designpilot_20260710,PubMed,4967225,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5703129,REC-PUBMED-5703129,A1,pubmed_a1_designpilot_20260710,PubMed,5703129,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5644709,REC-PUBMED-5644709,A1,pubmed_a1_designpilot_20260710,PubMed,5644709,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4868165,REC-PUBMED-4868165,A1,pubmed_a1_designpilot_20260710,PubMed,4868165,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-6048023,REC-PUBMED-6048023,A1,pubmed_a1_designpilot_20260710,PubMed,6048023,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5621970,REC-PUBMED-5621970,A1,pubmed_a1_designpilot_20260710,PubMed,5621970,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4175312,REC-PUBMED-4175312,A1,pubmed_a1_designpilot_20260710,PubMed,4175312,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4961390,REC-PUBMED-4961390,A1,pubmed_a1_designpilot_20260710,PubMed,4961390,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-6071662,REC-PUBMED-6071662,A1,pubmed_a1_designpilot_20260710,PubMed,6071662,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-6064067,REC-PUBMED-6064067,A1,pubmed_a1_designpilot_20260710,PubMed,6064067,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5297869,REC-PUBMED-5297869,A1,pubmed_a1_designpilot_20260710,PubMed,5297869,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5605505,REC-PUBMED-5605505,A1,pubmed_a1_designpilot_20260710,PubMed,5605505,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4163171,REC-PUBMED-4163171,A1,pubmed_a1_designpilot_20260710,PubMed,4163171,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4962736,REC-PUBMED-4962736,A1,pubmed_a1_designpilot_20260710,PubMed,4962736,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5939934,REC-PUBMED-5939934,A1,pubmed_a1_designpilot_20260710,PubMed,5939934,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5935358,REC-PUBMED-5935358,A1,pubmed_a1_designpilot_20260710,PubMed,5935358,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4160901,REC-PUBMED-4160901,A1,pubmed_a1_designpilot_20260710,PubMed,4160901,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5846012,REC-PUBMED-5846012,A1,pubmed_a1_designpilot_20260710,PubMed,5846012,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5890639,REC-PUBMED-5890639,A1,pubmed_a1_designpilot_20260710,PubMed,5890639,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5859260,REC-PUBMED-5859260,A1,pubmed_a1_designpilot_20260710,PubMed,5859260,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5853147,REC-PUBMED-5853147,A1,pubmed_a1_designpilot_20260710,PubMed,5853147,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-4956116,REC-PUBMED-4956116,A1,pubmed_a1_designpilot_20260710,PubMed,4956116,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5897315,REC-PUBMED-5897315,A1,pubmed_a1_designpilot_20260710,PubMed,5897315,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5850107,REC-PUBMED-5850107,A1,pubmed_a1_designpilot_20260710,PubMed,5850107,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5849164,REC-PUBMED-5849164,A1,pubmed_a1_designpilot_20260710,PubMed,5849164,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14267658,REC-PUBMED-14267658,A1,pubmed_a1_designpilot_20260710,PubMed,14267658,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14342207,REC-PUBMED-14342207,A1,pubmed_a1_designpilot_20260710,PubMed,14342207,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-5878936,REC-PUBMED-5878936,A1,pubmed_a1_designpilot_20260710,PubMed,5878936,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14187664,REC-PUBMED-14187664,A1,pubmed_a1_designpilot_20260710,PubMed,14187664,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14213888,REC-PUBMED-14213888,A1,pubmed_a1_designpilot_20260710,PubMed,14213888,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14208964,REC-PUBMED-14208964,A1,pubmed_a1_designpilot_20260710,PubMed,14208964,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14161135,REC-PUBMED-14161135,A1,pubmed_a1_designpilot_20260710,PubMed,14161135,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14133354,REC-PUBMED-14133354,A1,pubmed_a1_designpilot_20260710,PubMed,14133354,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14127371,REC-PUBMED-14127371,A1,pubmed_a1_designpilot_20260710,PubMed,14127371,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14111447,REC-PUBMED-14111447,A1,pubmed_a1_designpilot_20260710,PubMed,14111447,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14106088,REC-PUBMED-14106088,A1,pubmed_a1_designpilot_20260710,PubMed,14106088,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14074349,REC-PUBMED-14074349,A1,pubmed_a1_designpilot_20260710,PubMed,14074349,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14053542,REC-PUBMED-14053542,A1,pubmed_a1_designpilot_20260710,PubMed,14053542,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14048088,REC-PUBMED-14048088,A1,pubmed_a1_designpilot_20260710,PubMed,14048088,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13969408,REC-PUBMED-13969408,A1,pubmed_a1_designpilot_20260710,PubMed,13969408,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-14483974,REC-PUBMED-14483974,A1,pubmed_a1_designpilot_20260710,PubMed,14483974,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13867779,REC-PUBMED-13867779,A1,pubmed_a1_designpilot_20260710,PubMed,13867779,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13869568,REC-PUBMED-13869568,A1,pubmed_a1_designpilot_20260710,PubMed,13869568,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13722106,REC-PUBMED-13722106,A1,pubmed_a1_designpilot_20260710,PubMed,13722106,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13775099,REC-PUBMED-13775099,A1,pubmed_a1_designpilot_20260710,PubMed,13775099,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-13741365,REC-PUBMED-13741365,A1,pubmed_a1_designpilot_20260710,PubMed,13741365,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-542935,REC-PUBMED-542935,A1,pubmed_a1_designpilot_20260710,PubMed,542935,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-537547,REC-PUBMED-537547,A1,pubmed_a1_designpilot_20260710,PubMed,537547,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-555314,REC-PUBMED-555314,A1,pubmed_a1_designpilot_20260710,PubMed,555314,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-160244,REC-PUBMED-160244,A1,pubmed_a1_designpilot_20260710,PubMed,160244,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-295047,REC-PUBMED-295047,A1,pubmed_a1_designpilot_20260710,PubMed,295047,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-522759,REC-PUBMED-522759,A1,pubmed_a1_designpilot_20260710,PubMed,522759,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-482281,REC-PUBMED-482281,A1,pubmed_a1_designpilot_20260710,PubMed,482281,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-480184,REC-PUBMED-480184,A1,pubmed_a1_designpilot_20260710,PubMed,480184,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-469382,REC-PUBMED-469382,A1,pubmed_a1_designpilot_20260710,PubMed,469382,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-476013,REC-PUBMED-476013,A1,pubmed_a1_designpilot_20260710,PubMed,476013,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-260538,REC-PUBMED-260538,A1,pubmed_a1_designpilot_20260710,PubMed,260538,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-545769,REC-PUBMED-545769,A1,pubmed_a1_designpilot_20260710,PubMed,545769,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-553191,REC-PUBMED-553191,A1,pubmed_a1_designpilot_20260710,PubMed,553191,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-478599,REC-PUBMED-478599,A1,pubmed_a1_designpilot_20260710,PubMed,478599,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-454253,REC-PUBMED-454253,A1,pubmed_a1_designpilot_20260710,PubMed,454253,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-38329,REC-PUBMED-38329,A1,pubmed_a1_designpilot_20260710,PubMed,38329,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-573373,REC-PUBMED-573373,A1,pubmed_a1_designpilot_20260710,PubMed,573373,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-465069,REC-PUBMED-465069,A1,pubmed_a1_designpilot_20260710,PubMed,465069,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-439009,REC-PUBMED-439009,A1,pubmed_a1_designpilot_20260710,PubMed,439009,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-443815,REC-PUBMED-443815,A1,pubmed_a1_designpilot_20260710,PubMed,443815,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-373941,REC-PUBMED-373941,A1,pubmed_a1_designpilot_20260710,PubMed,373941,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-473111,REC-PUBMED-473111,A1,pubmed_a1_designpilot_20260710,PubMed,473111,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-435405,REC-PUBMED-435405,A1,pubmed_a1_designpilot_20260710,PubMed,435405,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-426915,REC-PUBMED-426915,A1,pubmed_a1_designpilot_20260710,PubMed,426915,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-760859,REC-PUBMED-760859,A1,pubmed_a1_designpilot_20260710,PubMed,760859,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-430246,REC-PUBMED-430246,A1,pubmed_a1_designpilot_20260710,PubMed,430246,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-105006,REC-PUBMED-105006,A1,pubmed_a1_designpilot_20260710,PubMed,105006,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-84915,REC-PUBMED-84915,A1,pubmed_a1_designpilot_20260710,PubMed,84915,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-107900,REC-PUBMED-107900,A1,pubmed_a1_designpilot_20260710,PubMed,107900,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-544143,REC-PUBMED-544143,A1,pubmed_a1_designpilot_20260710,PubMed,544143,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-543511,REC-PUBMED-543511,A1,pubmed_a1_designpilot_20260710,PubMed,543511,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-456941,REC-PUBMED-456941,A1,pubmed_a1_designpilot_20260710,PubMed,456941,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-453677,REC-PUBMED-453677,A1,pubmed_a1_designpilot_20260710,PubMed,453677,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-433362,REC-PUBMED-433362,A1,pubmed_a1_designpilot_20260710,PubMed,433362,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-721829,REC-PUBMED-721829,A1,pubmed_a1_designpilot_20260710,PubMed,721829,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-728474,REC-PUBMED-728474,A1,pubmed_a1_designpilot_20260710,PubMed,728474,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-749570,REC-PUBMED-749570,A1,pubmed_a1_designpilot_20260710,PubMed,749570,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-742892,REC-PUBMED-742892,A1,pubmed_a1_designpilot_20260710,PubMed,742892,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-719257,REC-PUBMED-719257,A1,pubmed_a1_designpilot_20260710,PubMed,719257,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-81403,REC-PUBMED-81403,A1,pubmed_a1_designpilot_20260710,PubMed,81403,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-567642,REC-PUBMED-567642,A1,pubmed_a1_designpilot_20260710,PubMed,567642,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-722713,REC-PUBMED-722713,A1,pubmed_a1_designpilot_20260710,PubMed,722713,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-700170,REC-PUBMED-700170,A1,pubmed_a1_designpilot_20260710,PubMed,700170,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-359368,REC-PUBMED-359368,A1,pubmed_a1_designpilot_20260710,PubMed,359368,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-675220,REC-PUBMED-675220,A1,pubmed_a1_designpilot_20260710,PubMed,675220,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-694945,REC-PUBMED-694945,A1,pubmed_a1_designpilot_20260710,PubMed,694945,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-150282,REC-PUBMED-150282,A1,pubmed_a1_designpilot_20260710,PubMed,150282,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-79573,REC-PUBMED-79573,A1,pubmed_a1_designpilot_20260710,PubMed,79573,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-580994,REC-PUBMED-580994,A1,pubmed_a1_designpilot_20260710,PubMed,580994,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
RET-A1-PUBMED-646989,REC-PUBMED-646989,A1,pubmed_a1_designpilot_20260710,PubMed,646989,research/searches/A1/pubmed/pubmed_a1_designpilot_20260710/efetch_001.xml,design_pilot_not_final_search
