candidate_id,record_id,question_id,pmid,pmcid,study_design_candidate,group_or_exposure_signals,timepoint_signals,outcome_definition_signals,comparison_signal,measure_type,observed_value,operator,ci_lower,ci_upper,xml_locator,source_sentence,source_sentence_sha256,context_completeness,extraction_authority,human_verified,effect_estimate_usable
NUM-PMC4998867-30-3-percentage-2,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,intake,,INR,true,percentage,10,,,,article[pmcid='PMC4998867']/body//p[30]/sentence[3],"Median vitamin K intake was lower among patients who had less coefficient of variation (CV) of INR (<10%) compared with unstable patients (CV >10%) [12 (7–14) versus 14 (7–19), respectively, P = 0.012].",b14c6c637b6239144c60982f3e546031acacd843e93627813dca298d303a080c,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-31-1-p_value-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|diet|intake|group,,coagulation|INR,true,p_value,0.05,<,,,article[pmcid='PMC4998867']/body//p[31]/sentence[1],"Finally, 3 studies found that patients with higher dietary vitamin K intake had a more stable anticoagulation.22,23 For example, Kim et al22 found that high vitamin K intake (>195.7 μg/day) group had lower CV of INR than the low intake (<126.5 μg/day) group (19.2 ± 8.96 % versus 25.5 ± 8.61 %, P <0.05).",32057cae31bd01c5352f60aab0a171f2ecca1b9cee768893e0146fd4008f5bd7,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-31-1-percentage-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|diet|intake|group,,coagulation|INR,true,percentage,8.96,,,,article[pmcid='PMC4998867']/body//p[31]/sentence[1],"Finally, 3 studies found that patients with higher dietary vitamin K intake had a more stable anticoagulation.22,23 For example, Kim et al22 found that high vitamin K intake (>195.7 μg/day) group had lower CV of INR than the low intake (<126.5 μg/day) group (19.2 ± 8.96 % versus 25.5 ± 8.61 %, P <0.05).",32057cae31bd01c5352f60aab0a171f2ecca1b9cee768893e0146fd4008f5bd7,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-31-1-percentage-2,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|diet|intake|group,,coagulation|INR,true,percentage,8.61,,,,article[pmcid='PMC4998867']/body//p[31]/sentence[1],"Finally, 3 studies found that patients with higher dietary vitamin K intake had a more stable anticoagulation.22,23 For example, Kim et al22 found that high vitamin K intake (>195.7 μg/day) group had lower CV of INR than the low intake (<126.5 μg/day) group (19.2 ± 8.96 % versus 25.5 ± 8.61 %, P <0.05).",32057cae31bd01c5352f60aab0a171f2ecca1b9cee768893e0146fd4008f5bd7,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-31-3-percentage-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|intake|diet,,INR,true,percentage,20,,,,article[pmcid='PMC4998867']/body//p[31]/sentence[3],"A 20% decrease in the risk of an incident subtherapeutic INR was found in patients with a high vitamin K intake (>300 μg/day), while a 33% increase in the risk was observed in patients with a low dietary vitamin K intake (<100 μg/day).",19374df9904beaff8b1175a00feeeeda46184981efb30f09b659c221752fa544,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-31-3-percentage-2,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,patients with|intake|diet,,INR,true,percentage,33,,,,article[pmcid='PMC4998867']/body//p[31]/sentence[3],"A 20% decrease in the risk of an incident subtherapeutic INR was found in patients with a high vitamin K intake (>300 μg/day), while a 33% increase in the risk was observed in patients with a low dietary vitamin K intake (<100 μg/day).",19374df9904beaff8b1175a00feeeeda46184981efb30f09b659c221752fa544,candidate_context_present,agent_result_context_only,,false
NUM-PMC4998867-38-2-odds_ratio-1,REC-PUBMED-26962786,A1,26962786,PMC4998867,systematic_review,diet|intake|treatment,,coagulation,false,odds_ratio,30,,,,article[pmcid='PMC4998867']/body//p[38]/sentence[2],"Studies reporting an interaction between dietary vitamin K and coagulation showed that an effect on coagulation may be detected only for high amount of vitamin intake (i.e., >150 μg/day), corresponding to approximately 118 g/day of raw lettuce green leaf, 106 g/day of cooked broccoli, or 30 g/day of cooked spinach.26 However, we cannot be certain that this threshold is valid for healthy subjects or for patients starting oral anticoagulant treatment.",44b2c29e0c7e32995ba12dd98bbfbdcf5acfd9153cbcd6ca7242ecbedd77bfeb,candidate_context_present,agent_result_context_only,,false
NUM-PMC9365742-7-4-percentage-1,REC-PUBMED-35776157,A2,35776157,PMC9365742,design_unclear,,65 years,hemorrhage|bleeding,true,percentage,94.7,,,,article[pmcid='PMC9365742']/body//p[7]/sentence[4],"One hundred and eight cases (108/114, 94.7%) had diseases (hypertension in 21; stroke in seven; abnormal renal function and hemorrhage in two each; peptic ulcer in one), drugs (antiplatelet drugs in 16: clopidogrel in 11, larger dosage of aspirin in 5; anticoagulants in 3: low molecular weight heparin (LMWH), heparin, and warfarin in 1 each; non-steroidal anti-inflammatory drugs (NSAIDs) in 4: metamizole, meloxicam, indomethacin, and celecoxib in 1 each; P-glycoprotein (P-gp) inhibitor/Cytochrome P450 3A4(CYP3A4) inhibitor in 6: dronedarone in 4, amiodarone in 2; steroids in 1: prednisone; selective serotonin reuptake inhibitors(SSRIs) in 1: citalopram), or other risk factors (age ≥ 65 years old in 103; low body weight ≤ 50 kg in 5; alcoholism in 1; ginger in 1; fish oil in 1) that increased the risk of bleeding.",098958606826f46017467b43ee49fce56005fdc25d34fef17305207ec0ad8f5f,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC11537787-34-5-p_value-1,REC-PUBMED-38811233,A2,38811233,PMC11537787,cohort,group,,bleeding,false,p_value,0.876,=,,,article[pmcid='PMC11537787']/body//p[34]/sentence[5],"In addition, in the patients divided into subgroups of those receiving warfarin or DOACs ( Fig.4B ) , the HED-[EPA]2-B3 score showed good calibration for major bleeding rates (modified Hosmer-Lemeshow test; P=0.876 and P=0.998, respectively).",825ba904a562dfa9792922c4d147caac3ebd87e69116c84dc52a71cd596e194e,candidate_context_present,agent_result_context_only,,false
NUM-PMC11537787-34-5-p_value-2,REC-PUBMED-38811233,A2,38811233,PMC11537787,cohort,group,,bleeding,false,p_value,0.998,=,,,article[pmcid='PMC11537787']/body//p[34]/sentence[5],"In addition, in the patients divided into subgroups of those receiving warfarin or DOACs ( Fig.4B ) , the HED-[EPA]2-B3 score showed good calibration for major bleeding rates (modified Hosmer-Lemeshow test; P=0.876 and P=0.998, respectively).",825ba904a562dfa9792922c4d147caac3ebd87e69116c84dc52a71cd596e194e,candidate_context_present,agent_result_context_only,,false
NUM-PMC11537787-43-1-percentage-1,REC-PUBMED-38811233,A2,38811233,PMC11537787,cohort,patients receiving,75 years,bleeding,true,percentage,1.3,,,,article[pmcid='PMC11537787']/body//p[43]/sentence[1],"The principal findings of this study are as follows: (i) the incidence rate of major bleeding was 1.3% per patient-year in AF patients receiving OAC; (ii) on a multivariable model, an age 65-74 and ≥ 75 years old, SBP ≥ 150 mmHg, bleeding history, hemoglobin ＜11 g/dl, platelet count ＜10×104/µl, and concomitant use of antiplatelets were significantly associated with a higher incidence of major bleeding; and (iii) the novel HED-[EPA]2-B3 score had a predictive performance better than or comparable to previous bleeding risk scores, such as the HAS-BLED, ATRIA, ORBIT, and DOAC scores.",22c4372b4a54c768c0a7876e3b39a812a6ef0ea5adad5e4a808e5e63d2500e87,candidate_context_present,agent_result_context_only,,false
NUM-PMC11537787-52-3-percentage-1,REC-PUBMED-38811233,A2,38811233,PMC11537787,cohort,patients with,,bleeding,false,percentage,2,,,,article[pmcid='PMC11537787']/body//p[52]/sentence[3],"Given that patients with an annual incidence of major bleeding ＞2%–3%/year are at ‘high risk,’ patients with an HED-[EPA]2-B3 score ≥ 4 in the present cohort were considered at high risk for major bleeding.",00fcc93b3849552d42cbaf125301a485a3ec52d5c28377bd2ce4b0e495bf7e0a,candidate_context_present,agent_result_context_only,,false
NUM-PMC11537787-52-3-percentage-2,REC-PUBMED-38811233,A2,38811233,PMC11537787,cohort,patients with,,bleeding,false,percentage,3,,,,article[pmcid='PMC11537787']/body//p[52]/sentence[3],"Given that patients with an annual incidence of major bleeding ＞2%–3%/year are at ‘high risk,’ patients with an HED-[EPA]2-B3 score ≥ 4 in the present cohort were considered at high risk for major bleeding.",00fcc93b3849552d42cbaf125301a485a3ec52d5c28377bd2ce4b0e495bf7e0a,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-10-2-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,diet|intake,,nephrolithiasis,true,p_value,0.001,<,,,article[pmcid='PMC3722432']/body//p[10]/sentence[2],"For every dietary calcium intake quintile, fractional calcium absorption was higher in women with a history of nephrolithiasis (p<0.001) (Figure 1).",e8749791acda4223aecf5844b3637b1acda6e0fe9dbf7a1cb9d763dffe237564,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-10-3-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplementation,,kidney stones,true,p_value,0.001,<,,,article[pmcid='PMC3722432']/body//p[10]/sentence[3],"For each calcium supplementation history category, fractional calcium absorption was higher in women with a history of kidney stones (p<0.001) (Figure 2).",88f3ffc226172d8cd3dae058fd5507324952a9bbeb8aac5f5fa0cee5ea9df8c5,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-11-1-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,diet|intake,daily,nephrolithiasis,true,p_value,0.07,=,,,article[pmcid='PMC3722432']/body//p[11]/sentence[1],There was a trend towards higher mean daily dietary calcium intake in women without a history of nephrolithiasis (p=0.07).,9276af14765d4236a3af51a318210148cf0587827303ef2613e1445d03cab715,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-12-1-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement|dose,,nephrolithiasis,true,p_value,0.001,<,,,article[pmcid='PMC3722432']/body//p[12]/sentence[1],Women with a history of nephrolithiasis were less likely to supplement calcium (p<0.001) and supplemented calcium at lower doses (p=0.02).,22616a52a81e3c6df23a1d9fc75f4d0c4aa0722874faf58093f46bff86d91132,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-12-1-p_value-2,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement|dose,,nephrolithiasis,true,p_value,0.02,=,,,article[pmcid='PMC3722432']/body//p[12]/sentence[1],Women with a history of nephrolithiasis were less likely to supplement calcium (p<0.001) and supplemented calcium at lower doses (p=0.02).,22616a52a81e3c6df23a1d9fc75f4d0c4aa0722874faf58093f46bff86d91132,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-12-2-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement,,nephrolithiasis,true,p_value,0.001,<,,,article[pmcid='PMC3722432']/body//p[12]/sentence[2],Women that supplemented calcium were 21–44% less likely to report a history of nephrolithiasis compared to women that never supplemented calcium (p<0.001 for trend) (Table 1).,08cee41b8f0339b6fc228df5f4005ee14b3e15ec40cb7d726ad592f1781a92bd,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-12-2-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement,,nephrolithiasis,true,percentage,44,,,,article[pmcid='PMC3722432']/body//p[12]/sentence[2],Women that supplemented calcium were 21–44% less likely to report a history of nephrolithiasis compared to women that never supplemented calcium (p<0.001 for trend) (Table 1).,08cee41b8f0339b6fc228df5f4005ee14b3e15ec40cb7d726ad592f1781a92bd,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-12-3-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplementation|dose|supplement,,kidney stones,true,p_value,0.02,=,,,article[pmcid='PMC3722432']/body//p[12]/sentence[3],"Furthermore, each calcium supplementation dose category was associated with a 24–48% decreased likelihood of reporting a history of kidney stones (p=0.02) compared to women who were not currently supplementing calcium.",d4697b6e74d31a9e7297199199c55695b9491fd2e947629bc44754e0def412cf,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-12-3-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplementation|dose|supplement,,kidney stones,true,percentage,48,,,,article[pmcid='PMC3722432']/body//p[12]/sentence[3],"Furthermore, each calcium supplementation dose category was associated with a 24–48% decreased likelihood of reporting a history of kidney stones (p=0.02) compared to women who were not currently supplementing calcium.",d4697b6e74d31a9e7297199199c55695b9491fd2e947629bc44754e0def412cf,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-13-1-odds_ratio-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,odds_ratio,1.30,,1.12,1.52,article[pmcid='PMC3722432']/body//p[13]/sentence[1],"Women were 30% more likely to report a history of nephrolithiasis for every 10% increase in fractional calcium absorption (OR 1.30, 95% CI 1.12–1.52, p<0.001) in unadjusted analyses.",d4333e76983199b3f056c56f420bda6f92c782e6d0a912d63cda002990b6f17e,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-1-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,p_value,0.001,<,1.12,1.52,article[pmcid='PMC3722432']/body//p[13]/sentence[1],"Women were 30% more likely to report a history of nephrolithiasis for every 10% increase in fractional calcium absorption (OR 1.30, 95% CI 1.12–1.52, p<0.001) in unadjusted analyses.",d4333e76983199b3f056c56f420bda6f92c782e6d0a912d63cda002990b6f17e,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-1-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,30,,1.12,1.52,article[pmcid='PMC3722432']/body//p[13]/sentence[1],"Women were 30% more likely to report a history of nephrolithiasis for every 10% increase in fractional calcium absorption (OR 1.30, 95% CI 1.12–1.52, p<0.001) in unadjusted analyses.",d4333e76983199b3f056c56f420bda6f92c782e6d0a912d63cda002990b6f17e,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-1-percentage-2,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,10,,1.12,1.52,article[pmcid='PMC3722432']/body//p[13]/sentence[1],"Women were 30% more likely to report a history of nephrolithiasis for every 10% increase in fractional calcium absorption (OR 1.30, 95% CI 1.12–1.52, p<0.001) in unadjusted analyses.",d4333e76983199b3f056c56f420bda6f92c782e6d0a912d63cda002990b6f17e,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-1-percentage-3,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,95,,1.12,1.52,article[pmcid='PMC3722432']/body//p[13]/sentence[1],"Women were 30% more likely to report a history of nephrolithiasis for every 10% increase in fractional calcium absorption (OR 1.30, 95% CI 1.12–1.52, p<0.001) in unadjusted analyses.",d4333e76983199b3f056c56f420bda6f92c782e6d0a912d63cda002990b6f17e,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-2-odds_ratio-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,odds_ratio,1.66,,1.14,2.41,article[pmcid='PMC3722432']/body//p[13]/sentence[2],"Similarly, when compared to those in the lowest quintile, women with higher fractional calcium absorption had significantly increased likelihood of historic nephrolithiasis (p<0.001 for trend), particularly in the highest quintile (OR 1.66, 95% CI 1.14–2.41).",ec15d284db709a10f4a271055d9ebbd1a5005e73565b5cee9bcb1ba2e02f6ad0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-2-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,p_value,0.001,<,1.14,2.41,article[pmcid='PMC3722432']/body//p[13]/sentence[2],"Similarly, when compared to those in the lowest quintile, women with higher fractional calcium absorption had significantly increased likelihood of historic nephrolithiasis (p<0.001 for trend), particularly in the highest quintile (OR 1.66, 95% CI 1.14–2.41).",ec15d284db709a10f4a271055d9ebbd1a5005e73565b5cee9bcb1ba2e02f6ad0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-13-2-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,95,,1.14,2.41,article[pmcid='PMC3722432']/body//p[13]/sentence[2],"Similarly, when compared to those in the lowest quintile, women with higher fractional calcium absorption had significantly increased likelihood of historic nephrolithiasis (p<0.001 for trend), particularly in the highest quintile (OR 1.66, 95% CI 1.14–2.41).",ec15d284db709a10f4a271055d9ebbd1a5005e73565b5cee9bcb1ba2e02f6ad0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-2-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,p_value,0.009,=,1.05,1.45,article[pmcid='PMC3722432']/body//p[14]/sentence[2],"There was a 24% increased likelihood of having a history of nephrolithiasis for each 10% increase in fractional calcium absorption (aOR 1.24, 95% CI 1.05–1.45 fold increase, p=0.009).",2f9980ce38914b1ba52943fa75f0d942da25b7ec352ff4fec1077629b855b4a0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-2-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,24,,1.05,1.45,article[pmcid='PMC3722432']/body//p[14]/sentence[2],"There was a 24% increased likelihood of having a history of nephrolithiasis for each 10% increase in fractional calcium absorption (aOR 1.24, 95% CI 1.05–1.45 fold increase, p=0.009).",2f9980ce38914b1ba52943fa75f0d942da25b7ec352ff4fec1077629b855b4a0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-2-percentage-2,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,10,,1.05,1.45,article[pmcid='PMC3722432']/body//p[14]/sentence[2],"There was a 24% increased likelihood of having a history of nephrolithiasis for each 10% increase in fractional calcium absorption (aOR 1.24, 95% CI 1.05–1.45 fold increase, p=0.009).",2f9980ce38914b1ba52943fa75f0d942da25b7ec352ff4fec1077629b855b4a0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-2-percentage-3,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,true,percentage,95,,1.05,1.45,article[pmcid='PMC3722432']/body//p[14]/sentence[2],"There was a 24% increased likelihood of having a history of nephrolithiasis for each 10% increase in fractional calcium absorption (aOR 1.24, 95% CI 1.05–1.45 fold increase, p=0.009).",2f9980ce38914b1ba52943fa75f0d942da25b7ec352ff4fec1077629b855b4a0,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-3-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,false,p_value,0.008,=,1.00,2.19,article[pmcid='PMC3722432']/body//p[14]/sentence[3],"These trends were similar when fractional calcium absorption was analyzed by quintile (p=0.008 for trend), where women in the highest quintile of fractional calcium absorption had the greatest risk of having a history of nephrolithiasis (aOR 1.48, 95% CI 1.00–2.19).",e6dbb61a07653384e2595c83b8d8bf8d270f0cc159c5ee2d409a20633f7a87f7,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-3-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,,,nephrolithiasis,false,percentage,95,,1.00,2.19,article[pmcid='PMC3722432']/body//p[14]/sentence[3],"These trends were similar when fractional calcium absorption was analyzed by quintile (p=0.008 for trend), where women in the highest quintile of fractional calcium absorption had the greatest risk of having a history of nephrolithiasis (aOR 1.48, 95% CI 1.00–2.19).",e6dbb61a07653384e2595c83b8d8bf8d270f0cc159c5ee2d409a20633f7a87f7,context_incomplete_manual_review,agent_result_context_only,,false
NUM-PMC3722432-14-4-p_value-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement,,kidney stones,true,p_value,0.007,=,,,article[pmcid='PMC3722432']/body//p[14]/sentence[4],"The likelihood of reporting a history of kidney stones was significantly reduced in women who supplemented calcium prior to study participation (21%), since study participation (23%), and both prior to and since study participation (38%) (p=0.007) compared to women who never supplemented calcium.",24955e94bba840aea34dd981d45cced82dd2ff6066e45a5aa959cc1a32cdd547,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-14-4-percentage-1,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement,,kidney stones,true,percentage,21,,,,article[pmcid='PMC3722432']/body//p[14]/sentence[4],"The likelihood of reporting a history of kidney stones was significantly reduced in women who supplemented calcium prior to study participation (21%), since study participation (23%), and both prior to and since study participation (38%) (p=0.007) compared to women who never supplemented calcium.",24955e94bba840aea34dd981d45cced82dd2ff6066e45a5aa959cc1a32cdd547,candidate_context_present,agent_result_context_only,,false
NUM-PMC3722432-14-4-percentage-2,REC-PUBMED-22341269,B1,22341269,PMC3722432,cohort,supplement,,kidney stones,true,percentage,23,,,,article[pmcid='PMC3722432']/body//p[14]/sentence[4],"The likelihood of reporting a history of kidney stones was significantly reduced in women who supplemented calcium prior to study participation (21%), since study participation (23%), and both prior to and since study participation (38%) (p=0.007) compared to women who never supplemented calcium.",24955e94bba840aea34dd981d45cced82dd2ff6066e45a5aa959cc1a32cdd547,candidate_context_present,agent_result_context_only,,false
