record_id,question_id,pmid,pmcid,title,body_present,body_paragraphs,body_text_sha256,retrieval_authority,human_fulltext_verified,human_eligibility_decision
REC-PUBMED-36221396,B2,36221396,PMC9542661,Hypercalcemia worsened after vitamin D supplementation in a sarcoidosis patient: A case report,true,19,1f5d0735196fb407524217fac7122d2009fbdbfc1343ae9041aec1a452a78079,agent_source_capture_only,,
REC-PUBMED-37049567,B2,37049567,PMC10096570,Vitamin D and Calcium Supplementation and Urolithiasis: A Controversial and Multifaceted Relationship,true,65,7dff7ed07e75298022349a96cfa81e87f1a26b02bd2c679c57225c1e5affa44e,agent_source_capture_only,,
REC-PUBMED-37481570,B2,37481570,PMC10362614,Effect of two vitamin D repletion protocols on 24-h urine calcium in patients with recurrent calcium kidney stones and vitamin D deficiency: a randomized clinical trial,true,60,3272a6a4ad348c00e0614d201dce44bdf5b60c9aa11cffcdcbcc1e498b1b1e12,agent_source_capture_only,,
REC-PUBMED-39064694,B2,39064694,PMC11279740,"The Safety Profile of Vitamin D Supplements Using Real-World Data from 445,493 Participants of the UK Biobank: Slightly Higher Hypercalcemia Prevalence but Neither Increased Risks of Kidney Stones nor Atherosclerosis",true,50,6d5f033921d676aab07e3b2d905ed8a9f96bb670940e365d2fbc0d6c70858a42,agent_source_capture_only,,
REC-PUBMED-39956606,B2,39956606,PMC11831308,Association between calcium and vitamin D supplementation and increased risk of kidney stone formation in patients with osteoporosis in Southwest China: a cross-sectional study,true,33,e21f4c47a121becf24461b9adfd36a3c7359390dc9f509ebc13c82db79bb800a,agent_source_capture_only,,
REC-PUBMED-40270059,B2,40270059,PMC12020162,"Exacerbated hypercalcemia, nephrolithiasis, and renal impairment after vitamin D supplementation in granulomatous disease: a case report",true,26,adb5bb7f05dc3dc317e0be3cfe34d12255988ce51cad03ba9083c4914ed7aae8,agent_source_capture_only,,
REC-PUBMED-40995255,B2,40995255,PMC12455253,Association Between Vitamin D Supplementation and Urolithiasis Recurrence Outcomes in Known Stone Formers: A Retrospective Cohort Study With Dose-Response Analysis,true,49,5ea897f4755770bd337fcb12e793a2abacc24fb74a84d1eb263a7fae75cf806c,agent_source_capture_only,,
REC-PUBMED-18042297,B3,18042297,PMC2235877,Vitamin C-induced hyperoxaluria causing reversible tubulointerstitial nephritis and chronic renal failure: a case report,true,25,f0bf967085ad91e43ae94da5d879d659f138d0bada81d90952d761fcd0a4ae4b,agent_source_capture_only,,
REC-PUBMED-21603151,B3,21603151,PMC3096888,Vitamin C-Induced Oxalate Nephropathy,true,13,12933b1b9a370ee2c938a2584fd730b5a15c3c9757ed493ade5e1c0d3d7517a2,agent_source_capture_only,,
REC-PUBMED-26463139,B3,26463139,PMC4769668,"Total, Dietary, and Supplemental Vitamin C Intake and Risk of Incident Kidney Stones",true,24,e6b8588faf8de2cd286226ab2dd097210361a62d4696182f6e8aade0625b413e,agent_source_capture_only,,
REC-PUBMED-28717544,B3,28717544,PMC5503439,Is it safe to prescribe ascorbic acid for urinary acidification in stone-forming patients with alkaline urine?,false,0,,agent_source_capture_only,,
REC-PUBMED-29497551,B3,29497551,PMC5782480,A case of reversible hyperoxaluria nephropathy early after roux-en-y-gastric bypass induced by vitamin C intake,true,20,00121899e7628c88dc1aec39517251ea6c0104ceef651527f70216b19b1933b3,agent_source_capture_only,,
REC-PUBMED-29883396,B3,29883396,PMC5981254,No Reported Renal Stones with Intravenous Vitamin C Administration: A Prospective Case Series Study,true,26,bd43e8159995a77b5a61cc8a41c12f7006aa093628c65f7a36809ed36ba4b984,agent_source_capture_only,,
REC-PUBMED-30276648,B3,30276648,PMC6361085,Ascorbic acid-induced oxalate nephropathy: a case report and discussion of pathologic mechanisms,false,0,,agent_source_capture_only,,
REC-PUBMED-31748360,B3,31748360,PMC6887424,Acute oxalate nephropathy due to high vitamin C doses and exocrine pancreatic insufficiency,false,0,,agent_source_capture_only,,
REC-PUBMED-40115864,B3,40115864,PMC11924107,A case report of renal oxalosis and secondary hyperoxaluria due to chronic high vitamin C consumption,true,33,bb750c1ae7477de64acdedfe133a4d2aa5ea147e5ec21076beed80cbfdf506da,agent_source_capture_only,,
REC-PUBMED-40130101,B3,40130101,PMC11932055,Public Interest in Vitamin C Supplementation During the COVID-19 Pandemic as a Potential Risk for Oxalate Nephrolithiasis,true,25,daf28b9f8237f68731088836219665a79746bc811eade6efc36e783befe1008a,agent_source_capture_only,,
