record_id,question_id,pmid,pmcid,study_design_candidate,randomization_signal,blinding_signal,attrition_signal,confounding_signal,outcome_measurement_signal,selective_reporting_signal,rob_tool_candidate,rob_authority,human_domain_judgment,overall_rob_judgment,rob_completed
REC-PUBMED-37049567,B2,37049567,PMC10096570,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-37481570,B2,37481570,PMC10362614,randomized_trial,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_observed,RoB 2,agent_signal_map_only,,,false
REC-PUBMED-39064694,B2,39064694,PMC11279740,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-39956606,B2,39956606,PMC11831308,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-40270059,B2,40270059,PMC12020162,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-40995255,B2,40995255,PMC12455253,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-18042297,B3,18042297,PMC2235877,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-21603151,B3,21603151,PMC3096888,case_report_or_series,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,JBI case report/series checklist,agent_signal_map_only,,,false
REC-PUBMED-26463139,B3,26463139,PMC4769668,systematic_review,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,AMSTAR 2,agent_signal_map_only,,,false
REC-PUBMED-29497551,B3,29497551,PMC5782480,case_report_or_series,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,JBI case report/series checklist,agent_signal_map_only,,,false
REC-PUBMED-29883396,B3,29883396,PMC5981254,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_observed,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-40115864,B3,40115864,PMC11924107,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
REC-PUBMED-40130101,B3,40130101,PMC11932055,cohort,not_applicable_or_design_unconfirmed,not_applicable_or_design_unconfirmed,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,signal_not_observed_in_extracted_sentences,ROBINS-I,agent_signal_map_only,,,false
