record_id,suggested_decision,human_final_decision,exclusion_reason,reviewer,review_date
pubmed:42103208:pubmed_kidney_stone_refined_20260531T223339_33755914,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:28317415:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:39644000:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36244055:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:39288907:pubmed_anticoag_refined_20260603T125913_ece52619,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:36304597:pubmed_anticoag_refined_20260603T125913_ece52619,exclude_duplicate,,duplicate record marked by deduplication step,rule_based_classifier_v1,20260603
pubmed:27754958:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:21364039:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:33212808:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:18666848:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:38795872:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:38958388:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:35533748:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:24832594:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35834523:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:14639058:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33614342:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:17143047:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16610971:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:27785043:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:34652608:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:7863972:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:22077529:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:31209952:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27913535:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36940171:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33895864:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:35149398:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:18636228:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:15630483:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:28249326:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:33543639:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:30850385:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:30157037:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:14967065:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16505257:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:25033004:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26420063:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:40460572:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:38716521:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:22231999:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27052207:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:18549907:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:19882303:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:31171018:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:30714620:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32270628:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:17565042:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:16786467:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26573697:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35491419:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:16492066:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:22973107:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32282500:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:12523469:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:22114781:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:16945054:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:10917378:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:14742793:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:25112306:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:23790596:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:22467528:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:37892697:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:35261442:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39687922:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; in vitro,rule_based_classifier_v1,20260603
pubmed:19476425:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:37673103:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:28515748:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: mouse; mice; rat,rule_based_classifier_v1,20260603
pubmed:16941417:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32522446:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:37313284:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39491548:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27354859:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16305294:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:23545828:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32750627:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:40188746:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33070895:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:25213003:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:34277237:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:19052707:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:12659605:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26666325:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:37601024:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27232386:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:10850575:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:17322161:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:24019755:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:38829189:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:28724836:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32029342:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:23943978:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:21274594:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:30808216:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:37598356:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27303213:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27838137:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:27737407:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35347478:pubmed_anticoag_refined_20260603T125913_ece52619,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36906146:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat; pig,rule_based_classifier_v1,20260603
pubmed:33668681:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat; pig,rule_based_classifier_v1,20260603
pubmed:27588937:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:34508834:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:36745886:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39077939:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:34774244:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:29264783:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:34959915:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:26463139:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26150027:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:11195313:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:10435676:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16357816:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:15133327:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: cat,rule_based_classifier_v1,20260603
pubmed:28879535:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:29562593:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:27539983:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:33461896:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:32533118:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:38606357:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:39836479:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: mice; rat; in vitro,rule_based_classifier_v1,20260603
pubmed:8620732:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:37761859:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:36645022:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat; cats,rule_based_classifier_v1,20260603
pubmed:35598638:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:37049567:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:26816771:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:16775455:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; rats; cat,rule_based_classifier_v1,20260603
pubmed:29664757:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:29376607:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:40551736:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:41258546:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:34857184:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat,rule_based_classifier_v1,20260603
pubmed:223811:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:35930049:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33659946:pubmed_kidney_stone_refined_20260603T125918_598b32ee,likely_exclude,,nonhuman or nonclinical terms: rat; cat,rule_based_classifier_v1,20260603
pubmed:33379176:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
pubmed:32857334:pubmed_kidney_stone_refined_20260603T125918_598b32ee,include_candidate,,"title/abstract matches population, ingredient, and safety outcome",rule_based_classifier_v1,20260603
